Full Title,Edition,Short Title,Series,Creator,Contributors,Publication Date,Map Publisher,Subject,Continent,Country,State/Province,Region,County,City,Notes,Local Note,Contents,Essay Description of Item,Type (RDA),Type (DCMI),Genre,Color/B&W,Scale,Bounding Box,Original Collection,Primo Record Permalink,Original Item Description,Original Item ID,Language,Repository,Digital Publisher,Rights,Digital ID,Digital Format,Digital Collection,NB,Accessible Alt Text,Cataloger,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
"Osaka seihoku-bu. N.W. Osaka, Osaka Prefecture, Honshu",,"Osaka, Japan 1942",,,United States. Army Map Service; Army War College (U.S.);,1942;,"Washington, D.C. : Engineer Reproducution Plant, U.S. Army, Army War College;",Osaka (Japan) -- Maps; Japan -- Osaka;,Asia;,Japan;,Ōsaka;,Honshu;,,Osaka;,"English title in red on one sheet; Japanese title in black in margin of both sheets. ""For use by War and Navy Department Agencies only. Not for sale or distribution."" One sheet is black color ink Japanese map and the other sheet has a grid with coordinates in red with note in red: Note: in the establishment of the grid used hereon, and its application to the base city map, the best available date have at times been uncertain, target locations have however been accurately coordinated with the grid used.",,,,cartographic image,Still image,Maps,Color;,"approximately 1:25,000 (E 135°13ʹ--E 135°27ʹ/N 34°45ʹ--N 34°40ʹ)",,American Geographical Society Library - Maps,,2 maps on 2 sheets : color ; 37 x 92 cm,470-d .O82 B-1942 sheet 1 - sheet 2,English,"American Geographical Society Library, University of Wisconsin-Milwaukee",American Geographical Society Library Digital Map Collection,The Board of Regents of the University of Wisconsin System,agsmap028881,image/tif; image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",,,2021-12-06,2022-02-09,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/31026,31026,31040.cpd,/agdm/image/31040.cpd
Ōmuta shigai shinchizu / Shinshindō.  大牟田市街新地圖 / 駸々堂.,,"Ōmuta, Japan 1930",,Shinshindō; 駸々堂;,United States. Army Map Service;,1930;,Ōsaka : Shinshindō 大阪 : 駸々堂;,Ōmuta-shi (Japan) -- Maps; 大牟田市 (Japan) -- Maps; Japan -- Ōmuta-shi;,Asia;,Japan;,Fukuoka Prefecture;,Kyushu;,,Ōmuta;,"Relief shown by form lines and hachures. Japanese title in black; English title in red. Includes index to major public and business buildings and 1 inset map. One inset : Miikechō shigaizu. Oriented with north to the upper right. Title and grid with coordinates in red with note in red: Note: in the establishment of the grid used hereon, and its application to the base city map, the best available date have at times been uncertain, target locations have however been accurately coordinated with the grid used. ""Acquired by gift Jul 14 1943 Army Air Forces.""",,,,cartographic image,Still image,Maps,Color;,"approximately 1:16,000 (E 130°23ʹ00ʺ--E 130°29ʹ00ʺ/N 033°03ʹ00ʺ--N 032°59ʹ00ʺ)",,American Geographical Society Library - Maps,,1 map : color ; 36 x 51 cm,470-d .O48 B-1930 1942,Japanese,"American Geographical Society Library, University of Wisconsin-Milwaukee",American Geographical Society Library Digital Map Collection,The Board of Regents of the University of Wisconsin System,agsmap028883,image/tif; image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.","A 1930 street map of Ōmuta shows landmarks, zones, and land use in Fukuoka Prefecture, Kyushu, Japan.",,2021-12-06,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/31030,31030,31001.jp2,/agdm/image/31001.jp2
Saishin Okayama daishigai chizu,,"Okayama, Japan 1933",,,United States. Army Map Service;,1933;,Place of publication not identified : publisher not identified;,Okayama-shi (Japan) -- Maps; 岡山市 (Japan) -- Maps; Japan -- Okayama-shi;,Asia;,Japan;,Okayama;,Honshū (island);,,Okayama;,,,,,cartographic image,Still image,Maps,Color;,"1:12,000 (E 133°54ʹ--E 133°57ʹ/N 34°42ʹ--N 34°38ʹ)",,American Geographical Society Library - Maps,,1 map : color ; 74 x 52 cm,470-d .O35 A-1933 1942,Japanese,"American Geographical Society Library, University of Wisconsin-Milwaukee",American Geographical Society Library Digital Map Collection,The Board of Regents of the University of Wisconsin System,agsmap028876,image/tif; image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.","The 1933 cartographic map depicts Okayama-shi in Okayama Prefecture, Japan.",,2021-12-06,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/31034,31034,31009.jp2,/agdm/image/31009.jp2
Ōita shigai shinchizu / Shinshindō.  大分市街新地圖 / 駸々堂,,"Oita Japan, 1933",,Shinshindō; 駸々堂;,United States. Army Map Service,1933;,Ōsaka : Shinshindō 大阪 : 駸々堂;,Ōita-shi (Japan) -- Maps; 大分市 (Japan) -- Maps; Japan -- Ōita-shi;,Asia;,Japan;,Ōita Prefecture;,Kyushu;,,,,,,,cartographic image,Still image,Maps,Color;,"approximaely 1:15,000 (E 131°34ʹ30ʺ--E 131°37ʹ30ʺ/N 33°15ʹ00ʺ--N 33°12ʹ00ʺ)",,American Geographical Society Library - Maps,,1 map : color ; 52 x 37 cm,470-d .O37 A-1933 1942,Japanese,"American Geographical Society Library, University of Wisconsin-Milwaukee",American Geographical Society Library Digital Map Collection,The Board of Regents of the University of Wisconsin System,agsmap028875,image/tif; image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",A 1933 Japanese map shows Ōita Prefecture in Kyushu with Ōita-shi's streets and terrain. (125 chars).,,2021-12-06,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/31035,31035,31008.jp2,/agdm/image/31008.jp2
Okazaki shigai zenzu / Honbun Shoten.  岡崎市街全圖 / 本文書店,,"Okazaki, Japan 1932",,Honbun Shoten; 本文書店;,United States. Army Map Service;,1932;,Okazaki-shi : Honbun Shoten; 岡崎市 : 本文書店;,,Asia;,Japan;,Aichi Prefecture;,Honshū (island);,,Okazaki;,"Relief shown by form lines. English title and scale in red. ""Army Map Service, U.S. Army, Washington D.C., 21867, 1942."" Includes one inset map. Grid with coordinates in red with note in red: Note: in the establishment of the grid used hereon, and its application to the base city map, the best available date have at times been uncertain, target locations have however been accurately coordinated with the grid used. Military grid.",,,,cartographic image,Still image,Maps,Color;,"1:10,000 (E 137°09ʹ00ʺ--E 137°12ʹ00ʺ/N 34°58ʹ30ʺ--N 34°55ʹ00ʺ)",,American Geographical Society Library - Maps,,1 map : color ; 75 x 52 cm,470-d .O36 A-1932 1942,Japanese,"American Geographical Society Library, University of Wisconsin-Milwaukee",American Geographical Society Library Digital Map Collection,The Board of Regents of the University of Wisconsin System,agsmap028877,image/tif; image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.","A 1932 city plan of Okazaki, Aichi, Japan displays streets, landscape, and major landmarks.",,2021-12-06,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/31038,31038,31010.jp2,/agdm/image/31010.jp2
"The Story of Wisconsin Indians / Ludwig Cinatl, Jr. ; The Milwaukee Journal",,"Wisconsin, United States 1967",,,"Cinatl, Ludwig;",1967;,"Milwaukee, Wisconsin : The Milwaukee Journal;",Indians of North America -- Wisconsin -- Maps; Wisconsin -- Maps; Wisconsin;,North and Central America;,,Wisconsin;,,,,"Includes notes, illustrations and4 ancillary maps: ""Principal Indian Cessions 1829-1848"" and ""Location of Indian Tribes1634,"" ""Location of Indian Tribes 1634-1750"" and ""Location of Indian Tribes 1750-1825."" ""The Milwaukee Journal, Sunday, December 3, 1967"" and advertisements on verso.","""Maps in the News,"" Exhibit Spring 2024",,,cartographic image,Still image,Maps,Color,"(W 92°53'00""--W 86°14'00""/N 47°18'00""--N 42°29'00"")",,American Geographical Society Library - Maps,https://wisconsin-uwm.primo.exlibrisgroup.com/permalink/01UWI_ML/13nukll/alma991013125096102124,1 map : color ; 55 x 39 cm,893 C-1634z [1967],English,"American Geographical Society Library, University of Wisconsin-Milwaukee",American Geographical Society Library Digital Map Collection,The Board of Regents of the University of Wisconsin System,agsmap028851 (a-b),image/tif; image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",,,2021-12-10,2024-02-21,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/31057,31057,31069.cpd,/agdm/image/31069.cpd
"Falkland Islands and Patagonia / the map, drawn & engraved by J. Rapkin ; the illustrations by H. Winkles & engraved by W. Lacey",,"Falkland Islands, 1851",,"Rapkin, J., cartographer, engraver;","Winkles, Henry, 1800-approximately 1860, illustrator;  Lacey, W., engraver;  John Tallis & Company, publisher;",1851;,London ; New York : John Tallis & Company;,Patagonia (Argentina and Chile) -- Maps;  Falkland Islands -- Maps;  Falkland Islands;,South America;,Argentina;,,Patagonia;,,,"Relief indicated by hachures.  Shows settlements and rivers.  Includes inset vignettes featuring Jason Islands; sea eagles; penguins; Fugeans; and Christmas Sound, Tierra del Fuego.  Date of publication based on date of atlases.  Appears in Tallis's illustrated atlas and modern history of the world : geographical, political, commercial & statistical / edited by R. Montgomery Martin. London ; New York : Published by John Tallis and Company, 1851.  Appears in Illustrated atlas and modern history of the world : geographical, political, commercial & statistical / edited by R. Montgomery Martin. London ; New York : J & F Tallis, [1857?].  Scales approximated from horizontal bar scales given in miles.",,,,cartographic image,Still image,Maps,Color;,"approximately 1:1,200,000 (W 61°22ʹ--W 57°41ʹ/S 51°00ʹ--S 52°32ʹ).   approximately 1:1,600,000 (W 76°--W 60°/S 39°--S 56°).",,American Geographical Society Library - Maps,,"2 maps on 1 sheet ; 15 x 23 cm each, sheet 37 x 27 cm",079 A-[1851],English,"American Geographical Society Library, University of Wisconsin-Milwaukee",American Geographical Society Library Digital Map Collection,The Board of Regents of the University of Wisconsin System,agsmap028843 (a-b),image/tif; image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",,,2021-12-10,2021-12-10,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/31060,31060,31072.cpd,/agdm/image/31072.cpd
"The railway map of South Africa / revised to date and published by authority at the offices of ""South Africa.""",,South Africa 1915,,,,1915;,"London : ""South Africa"";",Railroads -- South Africa -- Maps; South Africa -- Maps;,Africa;,South Africa;,,,,,"Includes 11 inset maps: British East Africa -- Africa showing the east coast route -- Beira & district -- Maritzburg -- Durban -- Port Elizabeth -- East London -- Cape Town -- Johannesburg -- Bulawayo -- Luderitzbucht. Includes list of South African railway systems and altitudes. Advertising material in margins. ""Loaned by the American Geographical Society to the Peace Conference at Versailles, 1918-1919."" Loaned by the American Geographical Society to the Peace Conference at Versailles, 1918-1919.",,,,cartographic image,Still image,Maps,Color;,"[ca. 1:4,800,000] (E 11°--E 40°/S 6°--35°)",,American Geographical Society Library - Maps,,1 map ; 77 x 69 cm,370 D-1915,English,"American Geographical Society Library, University of Wisconsin-Milwaukee",American Geographical Society Library Digital Map Collection,The Board of Regents of the University of Wisconsin System,agsmap028860,image/tif; image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",Vintage 1915 colored railway map of South Africa displaying Union-Castle Line routes alongside other key transport routes.,,2021-12-10,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/31062,31062,31047.jp2,/agdm/image/31047.jp2
"Selected castes of the North Indian Plain / JES, RBM, New Delhi, '62 ; copyright 1965 by the American Geographical Society ; Lith. Princeton Polychrome Press",,"India, 1965",,"Schwartzberg, Joseph E;","Mathur, Raj B; American Geographical Society of New York;",1965,New York : American Geographical Society of New York;,"Caste -- Gangetic Plain (India and Bangladesh) -- Maps; Marginality, Social -- Gangetic Plain (India and Bangladesh) -- Maps; Social stratification -- Gangetic Plain (India and Bangladesh) -- Maps; Social classes -- Gangetic Plain (India and Bangladesh) -- Maps; Classism -- Gangetic Plain (India and Bangladesh) -- Maps;",Asia;,India;,,,,,"Shows percentage of total population and rank among all castes and tribes for the Ahir, Brahman, Chamar, Jat, Kurmi, Lodh, Pasi, Rajput, and Sheikh castes; and shows only percentage of total population for the Nai Caste. Based on the Census of India, 1931. To accompany: The distribution of selected castes in the North Indian Plain / Joseph E. Schwatzberg. p. [477]-495 ; 26 cm. In Geographical review ; v. 55, no. 4 1965. ""The Geographical Review, Vol. LV., No. 4, 1965, Pl. II."" -- upper right margin. North oriented to the upper left on each map.",,,,cartographic image,Still image,Maps,Grayscale;,"approximately 1:10,350,000 (E 72°--E 92°/N 34°--N 22°)",,American Geographical Society Library - Maps,,"21 maps on 1 sheet ; each 9 x 20 cm, sheet 75 x 63 cm, folded to 25 x 16 cm",430-c .N6 C-1931 1965,English,"American Geographical Society Library, University of Wisconsin-Milwaukee",American Geographical Society Library Digital Map Collection,The Board of Regents of the University of Wisconsin System,agsmap028847,image/tif; image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.","A grid of 1960s maps shows caste distribution percentages for thirteen groups—Brahman, Kshatriya, Vaishya, Shudra, and eight.",,2021-12-10,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/31066,31066,31049.jp2,/agdm/image/31049.jp2
A plan of the city and environs of New York in North America,,"New York, New York 1776",,,,1776;,London : publisher not identified;,"New York (N.Y.) -- Maps -- Early works to 1800; Land use, Rural -- New York (State) -- New York -- Maps -- Early works to 1800; New York (State) -- New York;",North and Central America;,,New York;,,,New York City;,"General street map showing selected letter-keyed buildings in built-up area and field lines with generalized land use in rural areas. Relief shown by hachures. Also shows ""Road to Kings Bridge where the Rebels mean to make a stand"" and ""Road to Kepps Bay where the Kings troops landed."" Also covers rural part of Manhattan Island up to present-day 14th Street and small parts of Long Island. Removed from: The Universal Magazine of Knowledge and Pleasure, London, Nov. 1776, v. 59. Digitized and made available by the Wisconsin Historical Society Library-Archives Digital Collections as part of: Historical Maps and Atlases Collection ( https://www.wisconsinhistory.org/Records/Image/IM124643 ).. Available through the Library of Congress web site: http://hdl.loc.gov/loc.gmd/g3804n.ar111000 .",,,,cartographic image,Still image,Maps,Grayscale;,"approximately 1:12,200 (W 74°01ʹ27ʺ--W 73°57ʹ14ʺ/N 40°43ʹ58ʺ--N 40°41ʹ45ʺ)",,American Geographical Society Library - Maps,,"1 map ; 29 x 37 cm, folded to 19 x 12 cm",862.1 B-[1776],English,"American Geographical Society Library, University of Wisconsin-Milwaukee",American Geographical Society Library Digital Map Collection,The Board of Regents of the University of Wisconsin System,agsmap028614,image/tif; image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.","An 18th-century 1776 map depicts New York City, Manhattan, Long Island, and nearby shipyards.",LRP,2021-12-15,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/31131,31131,31121.jp2,/agdm/image/31121.jp2
"Map of a Reconnoissance between Fort Leavenworth on the Missouri River, and the Great Salt Lake in the Territory Of Utah, made in 1849 and 1850 / made in 1849 and 1850 under the orders of Col. J.J. Abert, Chief of the Topographical Bureau, by Capt. Howard Stansbury of the Corps of Topographical Engineers, aided by Lieut. J.W. Gunnison, Corps Topographical Engineers, and Albert Carrington ; drawn by Lieut. Gunnison and Charles Preuss",,"Utah, United States 1850",,"Stansbury, Howard, 1806-1863 cartographer","Gunnison, J. W. (John Williams), 1812-1853, contributor; Preuss, Charles, 1803-1854, contributor; Abert, J. W. (James William), 1820-1897, contributor; United States. Army. Corps of Engineers; Ackerman Lithr., publisher;",1850;,"New York : Ackerman Lith, 379 Broadway;",Missouri River Valley -- Maps; Fort Leavenworth (Kan.) -- Maps; Great Salt Lake (Utah) -- Maps; Kansas -- Fort Leavenworth; Missouri River Valley; Utah -- Great Salt Lake; United States -- Missouri River Valley; United States -- Kansas -- Fort Leavenworth; United States -- Utah -- Great Salt Lake;,North and Central America;,,Utah;,Great Salt Lake;,,,"Covers the Missouri River region between Fort Leavenworth and the Great Salt Lake. Relief shown by hachures. Showing cities and towns, rivers, plains, Indian tribal areas and topographical information. ""The adjacent country laid down from the latest and most authentic data."" Publication date from latest survey date. Includes a block of text in left panel. LC copy signed in on verso panel: Millard Fillmore. LC copy has fold-lined.",,,,cartographic image,Still image,Maps,Grayscale;,"1:1,000,000 (W 115°--W 94°/N 43°--N 38°)",,American Geographical Society Library - Maps,,"1 map : color ; 73 x 175 cm, folded to 23 x 14 cm",800-c West B-1849-50,English,"American Geographical Society Library, University of Wisconsin-Milwaukee",American Geographical Society Library Digital Map Collection,The Board of Regents of the University of Wisconsin System,am010801,image/tif; image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.","An 1850 exploration map showing the route from Fort Leavenworth to Great Salt Lake in Utah Territory, marking key landmarks.",,2021-12-17,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/31134,31134,31138.jp2,/agdm/image/31138.jp2
"Map of the United States and their territories between the Mississippi and the Pacific Ocean ; and part of Mexico / compiled in the Bureau of the Corps of Topogl. Engs. under a resolution of the U.S. Senate, from the best authorities which could be obtained",,United States 1850;,,United States. Army. Corps of Topographical Engineers;,Sherman & Smith;,1850;,"Washington, D.C. : U.S. Army, Corps of Topographical Engineers;",West (U.S.) -- Maps; Mexico -- Maps;,North and Central America;,,,,,,"Shows roads, forts, towns, waterways, and mountains. Relief shown by hachures.",,,,cartographic image,Still image,Maps,Grayscale;,"approximately 1:3,000,000] (W 126°--W 86°/N 50°--N 18°)",,American Geographical Society Library - Maps,,"1 map ; 110 x 97 cm, on 4 sheets 64 x 52 cm",800-c .W4 B-1850,English,"American Geographical Society Library, University of Wisconsin-Milwaukee",American Geographical Society Library Digital Map Collection,The Board of Regents of the University of Wisconsin System,am010840,image/tif; image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",An 1850 U.S. territorial map spanning the Mississippi to the Pacific and part of Mexico.,,2021-12-17,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/31141,31141,31144.jp2,/agdm/image/31144.jp2
"A new map of Texas, Oregon, and California : with the regions adjoining / compiled from the most recent authorities",,United States 1846,,"Mitchell, S. Augustus (Samuel Augustus), 1792-1868;","Burroughs, H. N;",1846;,"Philadelphia, Pa. : Mitchell;",Indians of North America -- West (U.S.) -- Maps; West (U.S.) -- Maps;,North and Central America;,,Texas; Oregon; California;,,,,"Shows western territories after the Mexican Cession and the location of Indian tribes, forts, and trading houses. Relief shown in hachures. Prime meridians: Greenwich and Washington. Copyright by H.N. Burroughs. Includes text and distance table entitled ""Emigrant route from Missouri to Oregon.""",,,,cartographic image,Still image,Maps,Color;,"[ca. 1:6,000,000] (W 133°--W 87°/N 54°--N 26°)",,American Geographical Society Library - Maps,,"1 map : color, mounted on cloth ; 52 x 48 cm, on sheet 58 x 54 cm",800-c A-1846,English,"American Geographical Society Library, University of Wisconsin-Milwaukee",American Geographical Society Library Digital Map Collection,The Board of Regents of the University of Wisconsin System,am010861,image/tif; image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.","An 1846 map details Texas, Oregon, California territories and neighboring western U.S. borders.",,2021-12-17,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/31147,31147,31157.jp2,/agdm/image/31157.jp2
"Map of the Yellowstone and Missouri rivers and their tributaries / prepared to accompany the geological report of F.V. Hayden, M.D., geologist to the expedition ; explored by Capt. W.F. Raynolds, Topl. Engrs. and 1st Lieut. H.E. Maynadier, 10th Inft. Assistant, 1859-60.",,United States 1869,,"Hayden, F. V. (Ferdinand Vandeveer), 1829-1887;","Raynolds, W. F. (William Franklin), 1820-1894;",1869;,"Washington, D.C. : U.S. War Dept;",Geology -- Yellowstone River Watershed -- Maps; Geology -- Missouri River Watershed -- Maps; Yellowstone River -- Maps; Missouri River -- Maps; Great Plains -- Discovery and exploration -- Maps;,North and Central America;,,,,,,"Shows geology. ""To accompany a report to the Bureau of Topographical Engineers. Lt. Col. Hartman Bache in charge."" ""Engraved in the Engineer Bureau, War Dept.""",,,,cartographic image,Still image,Maps,Grayscale;,"1:1,200,000 (W 113°--W 99°/N 49°--N 42°)",,American Geographical Society Library - Maps,,1 map : hand colored ; 67 x 105 cm,800-c West A-1859-60,English,"American Geographical Society Library, University of Wisconsin-Milwaukee",American Geographical Society Library Digital Map Collection,The Board of Regents of the University of Wisconsin System,am010854,image/tif; image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",An 1869 map by F. V. Hayden illustrating the Yellowstone and Missouri river systems with tributaries.,,2021-12-17,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/31163,31163,31172.jp2,/agdm/image/31172.jp2
"Territory of the United States, from the Mississippi River to the Pacific Ocean : originally prepared to accompany the reports of the explorations for a Pacific railroad route / compiled from authorized explorations and other reliable data by Lieut. G.K. Warren, Topl. Engrs., in the office of Pacific R.R. Surveys, War Dept. under the direction of Bvt. Maj. W.J. Emory, Topl. Engrs. in 1854, Capt. A.A. Humphreys, Topl. Engrs. in 1854, 1858 ; recompiled and redrawn under the direction of the Chief of Corps of Engineers by Edward Freyhold, 1865-66-67-68 ; engraved & printed by Julius Bien, N.Y.",,United States 1868,,"Freyhold, Edward;","Warren, G. K. (Gouverneur Kemble), 1830-1882; Bien, Julius, 1826-1909; United States. Army. Corps of Engineers;",1868;,"Washington, D.C. : Corps of Engineers;",Railroads -- United States -- West -- Maps -- 19th century ; Overland journeys to the Pacific -- Maps -- 19th century ;  West (U.S.) -- Discovery and exploration -- Maps -- 19th century ;,North and Central America;,,,,,,"Relief shown by hachures and spot heights. Shows routes and dates of expeditions and surveys. Includes inset of the ""Territory of Alaska"" and list of ""Authorities.""",,,,cartographic image,Still image,Maps,Grayscale;,"1:3,000,000 (W 126°--W 84°/N 48°--N 26°",,American Geographical Society Library - Maps,,"1 map : sectioned and mounted on cloth ; 108 x 117 cm, folded to 29 x 21 cm",800-c West A-1868,English,"American Geographical Society Library, University of Wisconsin-Milwaukee",American Geographical Society Library Digital Map Collection,The Board of Regents of the University of Wisconsin System,am010843 am010844,image/tif; image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",,,2021-12-20,2021-12-21,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/31225,31225,31230.cpd,/agdm/image/31230.cpd
"Tectonic map of China and Mongolia / principal compiler, Maurice J. Terman.",,China 1974,Map and chart series (Geological Society of America) ; MC-4.,"Terman, Maurice J. cartographer;",Geological Society of America; United States. Advanced Research Projects Agency;  Williams and Heintz Map Corporation;,1974;,"Boulder, Colorado : Geological Society of America;","Geology, Structural -- China -- Maps; Geology, Structural -- Mongolia -- Maps; Geology -- China -- Maps; Geology -- Mongolia -- Maps; China -- Maps; Mongolia -- Maps; China; Mongolia;",Asia;,Mongolia; China;,,,,,"Relief shown by spot heights. ""Compiled for Advanced Research Projects Agency, Department of Defense."" ""1974"" -- Sheet 2. Includes text, 2 maps showing ""Areal distribution of tectonic elements,"" table of tectonic cycles, and 10 cross-sections.",,Sheet 1. Tectonic map of China and Mongolia -- Sheet 2. Schematic cross-sections.,,cartographic image,Still image,Maps,Color;,"approximately 1:5,000,000 ; Miller oblated stereographic projection (E 68°--E 140°/N 56°--N 18°).",,American Geographical Society Library - Maps,,"1 map on 2 sheets : color ; sheets 85 x 108 cm, folded in envelope 31 x 23 cm.",460 G-1974,English,"American Geographical Society Library, University of Wisconsin-Milwaukee",American Geographical Society Library Digital Map Collection,The Board of Regents of the University of Wisconsin System,agsmap028934 (001-002),image/tif; image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",,LRP,2022-01-10,2022-02-03,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/31413,31413,31420.cpd,/agdm/image/31420.cpd
Sketch plan Niuafoʼou Island,,Tonga 1930,,,,1930;,Place of publication not identified : publisher not identified;,Niuafoʼou (Tonga) -- Maps; Tonga -- Niuafoʼou;,Oceania;,Tonga;,Niuafo'ou Island;,,,,"Negative black line print. ""Photostate of map loaned by Mr. Weld Arnold, Dec. 1930."" -- hand written note in upper margin. Weld Arnold spent some Weld Arnold spent some time as an instructor at the Institute of Geographic Exploration at Harvard. Arnold graduated from Harvard College in the class of 1918 and received a diploma from the Royal Geographical Society in 1923. He is the author of a number of books on geographical work and has been on several expeditions - to Brazil in 1924 with the Hamilton Rice Expedition; with Harvard Eclipse Expedition in Sumatra, 1925; and in Malaya, in 1928; United States Naval Observatory Expedition to Niuafoʼou in 1930. Donated by Mr. Weld Arnold, Dec. 1930.",,,,cartographic image,Still image,Maps,Grayscale;,"approximately 1:7,200. 1 inch = 600 ft. (W 175°41'24""--W 175°35'29""/S 15°33'34""--S 15°39'00"")",,American Geographical Society Library - Maps,,1 map on 2 sheets : photocopy ; sheets 47 x 37 cm,765.8-c .N58 A-[1930?],English,"American Geographical Society Library, University of Wisconsin-Milwaukee",American Geographical Society Library Digital Map Collection,The Board of Regents of the University of Wisconsin System,agsmap028975 (s1-s2),image/tif; image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",,LRP,2022-01-21,2022-02-08,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/31501,31501,31520.cpd,/agdm/image/31520.cpd
