Title,Call Number,Description,Language,Creator,Provider,Resource Class,Resource Type,Theme,Temporal Coverage,Date Issued,Index Year,Spatial Coverage,Member Of,Geometry,Bounding Box,Rights,Access Rights,Format,Information,Download,Archive Filename,ID,Identifier,Modified,Metadata Version,Suppressed,Index Map,Alternative Title,Publisher,Subject,Is Part Of,License,Documentation,MapServer,IIIF,Manifest
"Parcel Polygons Milwaukee, Wisconsin 2026",,"This polygon data layer represents 159,949 current City of Milwaukee tax parcels as of September 17, 2026. The source portal states that the current dataset is refreshed nightly. Each tax key, including each condominium unit, has a record. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/parcel-outlines"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Information Technology and Management Division,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Property|Boundaries,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.070959,-87.863748,43.194770,42.920819)","ENVELOPE(-88.070959,-87.863748,43.194770,42.920819)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsnk98vcp,https://geodata.uwm.edu/public/gmgsnk98vcp/Milwaukee_Parcels_2026.zip,Milwaukee_Parcels_2026.zip,ark:-77981-gmgsnk98vcp,ark:/77981/gmgsnk98vcp,,Aardvark,false,,,City of Milwaukee Information Technology and Management Division,Parcels|Land ownership|Property taxation,,http://www.opendefinition.org/licenses/cc-by,https://data.milwaukee.gov/dataset/3e238aee-5a21-4e2f-8ae7-803440c5d88a/resource/eb00811b-0e0f-4259-a2e4-c5cbc8d67818/download/mprop_documentation.pdf,https://milwaukeemaps.milwaukee.gov/arcgis/rest/services/property/parcels_mprop/MapServer/2,,
"Parcel Polygons Milwaukee, Wisconsin 2017",,"This polygon data layer is the 2017 historical snapshot of City of Milwaukee tax parcels. Starting in 2009, each tax key, including every condominium unit, has a record. The portal identifies snapshots from December 2011 onward as end-of-year snapshots. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/parcel-outlines"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Information Technology and Management Division,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Property|Boundaries,2017,2017,2017,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.070959,-87.863748,43.194770,42.920819)","ENVELOPE(-88.070959,-87.863748,43.194770,42.920819)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsht76k00,https://geodata.uwm.edu/public/gmgsht76k00/Milwaukee_Parcels_2017.zip,Milwaukee_Parcels_2017.zip,ark:-77981-gmgsht76k00,ark:/77981/gmgsht76k00,,Aardvark,false,,,City of Milwaukee Information Technology and Management Division,Parcels|Land ownership|Property taxation,,http://www.opendefinition.org/licenses/cc-by,https://data.milwaukee.gov/dataset/3e238aee-5a21-4e2f-8ae7-803440c5d88a/resource/eb00811b-0e0f-4259-a2e4-c5cbc8d67818/download/mprop_documentation.pdf,,,
"Parcel Polygons Milwaukee, Wisconsin 2018",,"This polygon data layer is the 2018 historical snapshot of City of Milwaukee tax parcels. Starting in 2009, each tax key, including every condominium unit, has a record. The portal identifies snapshots from December 2011 onward as end-of-year snapshots. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/parcel-outlines"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Information Technology and Management Division,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Property|Boundaries,2018,2018,2018,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.070959,-87.863748,43.194770,42.920819)","ENVELOPE(-88.070959,-87.863748,43.194770,42.920819)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsd2548m5,https://geodata.uwm.edu/public/gmgsd2548m5/Milwaukee_Parcels_2018.zip,Milwaukee_Parcels_2018.zip,ark:-77981-gmgsd2548m5,ark:/77981/gmgsd2548m5,,Aardvark,false,,,City of Milwaukee Information Technology and Management Division,Parcels|Land ownership|Property taxation,,http://www.opendefinition.org/licenses/cc-by,https://data.milwaukee.gov/dataset/3e238aee-5a21-4e2f-8ae7-803440c5d88a/resource/eb00811b-0e0f-4259-a2e4-c5cbc8d67818/download/mprop_documentation.pdf,,,
"Parcel Polygons Milwaukee, Wisconsin 2019",,"This polygon data layer is the 2019 historical snapshot of City of Milwaukee tax parcels. Starting in 2009, each tax key, including every condominium unit, has a record. The portal identifies snapshots from December 2011 onward as end-of-year snapshots. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/parcel-outlines"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Information Technology and Management Division,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Property|Boundaries,2019,2019,2019,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.070959,-87.863748,43.194770,42.920819)","ENVELOPE(-88.070959,-87.863748,43.194770,42.920819)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgs893207g,https://geodata.uwm.edu/public/gmgs893207g/Milwaukee_Parcels_2019.zip,Milwaukee_Parcels_2019.zip,ark:-77981-gmgs893207g,ark:/77981/gmgs893207g,,Aardvark,false,,,City of Milwaukee Information Technology and Management Division,Parcels|Land ownership|Property taxation,,http://www.opendefinition.org/licenses/cc-by,https://data.milwaukee.gov/dataset/3e238aee-5a21-4e2f-8ae7-803440c5d88a/resource/eb00811b-0e0f-4259-a2e4-c5cbc8d67818/download/mprop_documentation.pdf,,,
"Parcel Polygons Milwaukee, Wisconsin 2020",,"This polygon data layer is the 2020 historical snapshot of City of Milwaukee tax parcels. Starting in 2009, each tax key, including every condominium unit, has a record. The portal identifies snapshots from December 2011 onward as end-of-year snapshots. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/parcel-outlines"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Information Technology and Management Division,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Property|Boundaries,2020,2020,2020,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.070959,-87.863748,43.194770,42.920819)","ENVELOPE(-88.070959,-87.863748,43.194770,42.920819)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgs4mw6ms2,https://geodata.uwm.edu/public/gmgs4mw6ms2/Milwaukee_Parcels_2020.zip,Milwaukee_Parcels_2020.zip,ark:-77981-gmgs4mw6ms2,ark:/77981/gmgs4mw6ms2,,Aardvark,false,,,City of Milwaukee Information Technology and Management Division,Parcels|Land ownership|Property taxation,,http://www.opendefinition.org/licenses/cc-by,https://data.milwaukee.gov/dataset/3e238aee-5a21-4e2f-8ae7-803440c5d88a/resource/eb00811b-0e0f-4259-a2e4-c5cbc8d67818/download/mprop_documentation.pdf,,,
"Parcel Polygons Milwaukee, Wisconsin 2021",,"This polygon data layer is the 2021 historical snapshot of City of Milwaukee tax parcels. Starting in 2009, each tax key, including every condominium unit, has a record. The portal identifies snapshots from December 2011 onward as end-of-year snapshots. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/parcel-outlines"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Information Technology and Management Division,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Property|Boundaries,2021,2021,2021,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.070959,-87.863748,43.194770,42.920819)","ENVELOPE(-88.070959,-87.863748,43.194770,42.920819)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgs0vt4bdc,https://geodata.uwm.edu/public/gmgs0vt4bdc/Milwaukee_Parcels_2021.zip,Milwaukee_Parcels_2021.zip,ark:-77981-gmgs0vt4bdc,ark:/77981/gmgs0vt4bdc,,Aardvark,false,,,City of Milwaukee Information Technology and Management Division,Parcels|Land ownership|Property taxation,,http://www.opendefinition.org/licenses/cc-by,https://data.milwaukee.gov/dataset/3e238aee-5a21-4e2f-8ae7-803440c5d88a/resource/eb00811b-0e0f-4259-a2e4-c5cbc8d67818/download/mprop_documentation.pdf,,,
"Parcel Polygons Milwaukee, Wisconsin 2022",,"This polygon data layer is the 2022 historical snapshot of City of Milwaukee tax parcels. Starting in 2009, each tax key, including every condominium unit, has a record. The portal identifies snapshots from December 2011 onward as end-of-year snapshots. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/parcel-outlines"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Information Technology and Management Division,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Property|Boundaries,2022,2022,2022,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.070959,-87.863748,43.194770,42.920819)","ENVELOPE(-88.070959,-87.863748,43.194770,42.920819)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsw3r24ts,https://geodata.uwm.edu/public/gmgsw3r24ts/Milwaukee_Parcels_2022.zip,Milwaukee_Parcels_2022.zip,ark:-77981-gmgsw3r24ts,ark:/77981/gmgsw3r24ts,,Aardvark,false,,,City of Milwaukee Information Technology and Management Division,Parcels|Land ownership|Property taxation,,http://www.opendefinition.org/licenses/cc-by,https://data.milwaukee.gov/dataset/3e238aee-5a21-4e2f-8ae7-803440c5d88a/resource/eb00811b-0e0f-4259-a2e4-c5cbc8d67818/download/mprop_documentation.pdf,,,
"Parcel Polygons Milwaukee, Wisconsin 2023",,"This polygon data layer is the 2023 historical snapshot of City of Milwaukee tax parcels. Starting in 2009, each tax key, including every condominium unit, has a record. The portal identifies snapshots from December 2011 onward as end-of-year snapshots. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/parcel-outlines"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Information Technology and Management Division,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Property|Boundaries,2023,2023,2023,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.070959,-87.863748,43.194770,42.920819)","ENVELOPE(-88.070959,-87.863748,43.194770,42.920819)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsrbnzvf5,https://geodata.uwm.edu/public/gmgsrbnzvf5/Milwaukee_Parcels_2023.zip,Milwaukee_Parcels_2023.zip,ark:-77981-gmgsrbnzvf5,ark:/77981/gmgsrbnzvf5,,Aardvark,false,,,City of Milwaukee Information Technology and Management Division,Parcels|Land ownership|Property taxation,,http://www.opendefinition.org/licenses/cc-by,https://data.milwaukee.gov/dataset/3e238aee-5a21-4e2f-8ae7-803440c5d88a/resource/eb00811b-0e0f-4259-a2e4-c5cbc8d67818/download/mprop_documentation.pdf,,,
"Parcel Polygons Milwaukee, Wisconsin 2024",,"This polygon data layer is the 2024 historical snapshot of City of Milwaukee tax parcels. Starting in 2009, each tax key, including every condominium unit, has a record. The portal identifies snapshots from December 2011 onward as end-of-year snapshots. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/parcel-outlines"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Information Technology and Management Division,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Property|Boundaries,2024,2024,2024,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.070959,-87.863748,43.194770,42.920819)","ENVELOPE(-88.070959,-87.863748,43.194770,42.920819)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsmkkwk2g,https://geodata.uwm.edu/public/gmgsmkkwk2g/Milwaukee_Parcels_2024.zip,Milwaukee_Parcels_2024.zip,ark:-77981-gmgsmkkwk2g,ark:/77981/gmgsmkkwk2g,,Aardvark,false,,,City of Milwaukee Information Technology and Management Division,Parcels|Land ownership|Property taxation,,http://www.opendefinition.org/licenses/cc-by,https://data.milwaukee.gov/dataset/3e238aee-5a21-4e2f-8ae7-803440c5d88a/resource/eb00811b-0e0f-4259-a2e4-c5cbc8d67818/download/mprop_documentation.pdf,,,
"Parcel Polygons Milwaukee, Wisconsin 2025",,"This polygon data layer is the 2025 historical snapshot of City of Milwaukee tax parcels. Starting in 2009, each tax key, including every condominium unit, has a record. The portal identifies snapshots from December 2011 onward as end-of-year snapshots. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/parcel-outlines"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Information Technology and Management Division,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Property|Boundaries,2025,2025,2025,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.070959,-87.863748,43.194770,42.920819)","ENVELOPE(-88.070959,-87.863748,43.194770,42.920819)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsgtht8p8,https://geodata.uwm.edu/public/gmgsgtht8p8/Milwaukee_Parcels_2025.zip,Milwaukee_Parcels_2025.zip,ark:-77981-gmgsgtht8p8,ark:/77981/gmgsgtht8p8,,Aardvark,false,,,City of Milwaukee Information Technology and Management Division,Parcels|Land ownership|Property taxation,,http://www.opendefinition.org/licenses/cc-by,https://data.milwaukee.gov/dataset/3e238aee-5a21-4e2f-8ae7-803440c5d88a/resource/eb00811b-0e0f-4259-a2e4-c5cbc8d67818/download/mprop_documentation.pdf,,,
"Zoning Milwaukee, Wisconsin 2026",,"This polygon data layer represents 148,087 zoning features in the City of Milwaukee, Wisconsin as accessed September 18, 2026. Zoning divides land into districts that regulate permitted land uses and the size, bulk, and placement of buildings. The source portal states that the dataset is refreshed nightly. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/zoning"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Department of City Development,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Property,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.077255,-87.859611,43.194861,42.919583)","ENVELOPE(-88.077255,-87.859611,43.194861,42.919583)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsc2fr09z,https://geodata.uwm.edu/public/gmgsc2fr09z/Milwaukee_Zoning_2026.zip,Milwaukee_Zoning_2026.zip,ark:-77981-gmgsc2fr09z,ark:/77981/gmgsc2fr09z,,Aardvark,false,,,City of Milwaukee Department of City Development,Zoning|Land use regulation,,http://www.opendefinition.org/licenses/cc-by,https://city.milwaukee.gov/DCD/Planning/PlanningAdministration/Zoning,https://milwaukeemaps.milwaukee.gov/arcgis/rest/services/planning/zoning/MapServer/11,,
"Police Department Squad Areas Milwaukee, Wisconsin 2026",,"This polygon data layer represents the 25 Milwaukee Police Department squad areas as accessed September 18, 2026. The source portal states that the dataset is refreshed nightly. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/milwaukee-police-department-squad-areas"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Police Department,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Boundaries|Society,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.077252,-87.859608,43.194866,42.919580)","ENVELOPE(-88.077252,-87.859608,43.194866,42.919580)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgs7d7wmvz,https://geodata.uwm.edu/public/gmgs7d7wmvz/Milwaukee_PoliceSquadAreas_2026.zip,Milwaukee_PoliceSquadAreas_2026.zip,ark:-77981-gmgs7d7wmvz,ark:/77981/gmgs7d7wmvz,,Aardvark,false,,,City of Milwaukee Police Department,Police districts|Police services|Public safety,,http://www.opendefinition.org/licenses/cc-by,,https://milwaukeemaps.milwaukee.gov/arcgis/rest/services/MPD/MPD_geography/MapServer/1,,
"Police Districts Milwaukee, Wisconsin 2026",,"This polygon data layer represents the seven Milwaukee Police Department districts as accessed September 18, 2026. The source portal states that the dataset is refreshed nightly. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/milwaukee-police-district"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Police Department,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Boundaries|Society,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.077252,-87.859608,43.194866,42.919580)","ENVELOPE(-88.077252,-87.859608,43.194866,42.919580)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgs3n5tbg8,https://geodata.uwm.edu/public/gmgs3n5tbg8/Milwaukee_PoliceDistricts_2026.zip,Milwaukee_PoliceDistricts_2026.zip,ark:-77981-gmgs3n5tbg8,ark:/77981/gmgs3n5tbg8,,Aardvark,false,,,City of Milwaukee Police Department,Police districts|Police services|Public safety,,http://www.opendefinition.org/licenses/cc-by,,https://milwaukeemaps.milwaukee.gov/arcgis/rest/services/MPD/MPD_geography/MapServer/2,,
"Library Service Areas Milwaukee, Wisconsin 2026",,"This polygon data layer represents 13 service areas surrounding Milwaukee Public Library locations as accessed September 18, 2026. The source portal states that the dataset is updated as needed. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/library-service-areas"">City of Milwaukee Open Data Portal</a>.",eng,Milwaukee Public Library,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Boundaries|Society,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.071850,-87.859610,43.193748,42.919580)","ENVELOPE(-88.071850,-87.859610,43.193748,42.919580)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgszw3r4w9,https://geodata.uwm.edu/public/gmgszw3r4w9/Milwaukee_LibraryServiceAreas_2026.zip,Milwaukee_LibraryServiceAreas_2026.zip,ark:-77981-gmgszw3r4w9,ark:/77981/gmgszw3r4w9,,Aardvark,false,,,Milwaukee Public Library,Library districts|Libraries|Public services,,http://www.opendefinition.org/licenses/cc-by,,https://milwaukeemaps.milwaukee.gov/arcgis/rest/services/AGO/LibraryServices/MapServer/1,,
"Libraries Milwaukee, Wisconsin 2026",,"This point data layer represents 13 Milwaukee Public Library locations as accessed September 18, 2026. Attributes include branch names, locations, and hours of operation. The source portal states that the dataset is refreshed nightly. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/libraries"">City of Milwaukee Open Data Portal</a>.",eng,Milwaukee Public Library,American Geographical Society Library – UWM Libraries,Datasets,Point data,Location|Society,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.012903,-87.883508,43.148143,42.972898)","ENVELOPE(-88.012903,-87.883508,43.148143,42.972898)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsv41nvhh,https://geodata.uwm.edu/public/gmgsv41nvhh/Milwaukee_Libraries_2026.zip,Milwaukee_Libraries_2026.zip,ark:-77981-gmgsv41nvhh,ark:/77981/gmgsv41nvhh,,Aardvark,false,,,Milwaukee Public Library,Libraries|Public facilities|Public services,,http://www.opendefinition.org/licenses/cc-by,,https://milwaukeemaps.milwaukee.gov/arcgis/rest/services/AGO/LibraryServices/MapServer/0,,
"Firehouse Locations Milwaukee, Wisconsin 2026",,"This point data layer represents 31 Milwaukee Fire Department station locations as accessed September 18, 2026. The source portal states that the dataset is refreshed nightly. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/firehouse-locations"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Fire Department,American Geographical Society Library – UWM Libraries,Datasets,Point data,Utilities|Society,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.047262,-87.885860,43.171671,42.933444)","ENVELOPE(-88.047262,-87.885860,43.171671,42.933444)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsqbzkk4d,https://geodata.uwm.edu/public/gmgsqbzkk4d/Milwaukee_Firehouses_2026.zip,Milwaukee_Firehouses_2026.zip,ark:-77981-gmgsqbzkk4d,ark:/77981/gmgsqbzkk4d,,Aardvark,false,,,City of Milwaukee Fire Department,Fire stations|Fire departments|Emergency services,,http://www.opendefinition.org/licenses/cc-by,,https://milwaukeemaps.milwaukee.gov/arcgis/rest/services/MFD/MFD_RiskReduction/MapServer/0,,
