Title,AGSL Call Number,Description,Language,Creator,Provider,Resource Class,Resource Type,Theme,Temporal Coverage,Date Issued,Index Year,Spatial Coverage,Member Of,Geometry,Bounding Box,Rights,Access Rights,Format,Information,Download,ID,Identifier,Column1,Modified,Metadata Version,Suppressed,Index Map,Github View
"OpenIndexMap: British Isles: Ireland 1:25,000 (incomplete)",625-b A-1:25000 S30,"This is a digital index map to serve as a finding aid for British Isles: Ireland 1:25,000. This military map series at 1:25,000 was begun in the 1930s, but at the outbreak of War in 1939. AGSL Holds more maps than are listed in this file so this file should be considered incomplete.",eng,Great Britain. Ordnance Survey,American Geographical Society Library – UWM Libraries,Maps,Index maps | Topographic Maps,,1943,,1943,,,"ENVELOPE(-10.65,-9.783334,54.4,51.33333)","ENVELOPE(-10.65,-9.783334,54.4,51.33333)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,GeoJSON,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgspnvx2m6,https://raw.githubusercontent.com/OpenIndexMaps/edu.uwm/main/625ba25000_S30.geojson,ark:-77981-gmgspnvx2m6,ark:/77981/gmgspnvx2m6,,2026-03-30T18:00:15Z,Aardvark,false,https://raw.githubusercontent.com/OpenIndexMaps/edu.uwm/main/625ba25000_S30.geojson,https://github.com/OpenIndexMaps/edu.uwm/blob/main/625ba25000_S30.geojson
"OpenIndexMap: Ordnance Survey of Ireland - Discovery Series 1:50,000","625-b A-1:50,000","This is a digital index map to serve as a finding aid for the Ordnance Survey of Ireland - Discovery Series 1:50,000",eng,Ordnance Survey of Ireland,American Geographical Society Library – UWM Libraries,Maps,Index maps | Topographic Maps,,2002 to 2007,,2002|2003|2004|2005|2006|2007,,,"ENVELOPE(-10.62083,-5.395834,55.38334,51.37917)","ENVELOPE(-10.62083,-5.395834,55.38334,51.37917)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,GeoJSON,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsjwsts71,https://raw.githubusercontent.com/OpenIndexMaps/edu.uwm/main/625bA50000.geojson,ark:-77981-gmgsjwsts71,ark:/77981/gmgsjwsts71,,2026-03-30T18:00:15Z,Aardvark,false,https://raw.githubusercontent.com/OpenIndexMaps/edu.uwm/main/625bA50000.geojson,https://github.com/OpenIndexMaps/edu.uwm/blob/main/625bA50000.geojson
"OpenIndexMap: Ordnance Survey of Ireland 1:63,360","625-b A-1:63,360","This is a digital index map to serve as a finding aid for the Ordnance Survey of Ireland 1:63,360",eng,Ordnance Survey of Ireland,American Geographical Society Library – UWM Libraries,Maps,Index maps | Topographic Maps,,1899 to 1952,,1899|1900|1901|1902|1903|1904|1905|1906|1907|1945|1952,,,"ENVELOPE(-10.66667,-5.4,55.51667,51.31667)","ENVELOPE(-10.66667,-5.4,55.51667,51.31667)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,GeoJSON,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsf7m0dsb,https://raw.githubusercontent.com/OpenIndexMaps/edu.uwm/main/625bA63360.geojson,ark:-77981-gmgsf7m0dsb,ark:/77981/gmgsf7m0dsb,,2026-03-30T18:00:15Z,Aardvark,false,https://raw.githubusercontent.com/OpenIndexMaps/edu.uwm/main/625bA63360.geojson,https://github.com/OpenIndexMaps/edu.uwm/blob/main/625bA63360.geojson
"OpenIndexMap: Carte geologique de la France 1:250,000 (BRGM)","630-b A-1:250,000 BRGM","This is a digital index map to serve as a finding aid for Carte geologique de la France 1:250,000 (BRGM)",fra,France. Service géologique national,American Geographical Society Library – UWM Libraries,Maps,Index maps | Geological Maps,,1968 to 1989,,1968|1973|1974|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989,,,"ENVELOPE(-5.150556,9.7175,51.12,41.22)","ENVELOPE(-5.150556,9.7175,51.12,41.22)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,GeoJSON,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgs9ghx4d6,https://raw.githubusercontent.com/OpenIndexMaps/edu.uwm/main/630bA50000_Orange.geojson,ark:-77981-gmgs9ghx4d6,ark:/77981/gmgs9ghx4d6,,2026-03-30T18:00:15Z,Aardvark,false,https://raw.githubusercontent.com/OpenIndexMaps/edu.uwm/main/630bA50000_Orange.geojson,https://github.com/OpenIndexMaps/edu.uwm/blob/main/630bA50000_Orange.geojson
"OpenIndexMap: Carte geologique des Pyrenees 1:25,000 (Pyrenees)","630-b A-1:250,000 Pyrenees","This is a digital index map to serve as a finding aid for Carte geologique des Pyrenees 1:25,000",fra,Société nationale des pétroles d'Aquitaine,American Geographical Society Library – UWM Libraries,Maps,Index maps | Geological Maps,,1979 to 1989,,1979|1980|1983|1987|1989,,,"ENVELOPE(0,10,50,41.16667)","ENVELOPE(0,10,50,41.16667)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,GeoJSON,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgs5qftv11,https://raw.githubusercontent.com/OpenIndexMaps/edu.uwm/main/630bG250000_BRGM.geojson,ark:-77981-gmgs5qftv11,ark:/77981/gmgs5qftv11,,2026-03-30T18:00:15Z,Aardvark,false,https://raw.githubusercontent.com/OpenIndexMaps/edu.uwm/main/630bG250000_BRGM.geojson,https://github.com/OpenIndexMaps/edu.uwm/blob/main/630bG250000_BRGM.geojson
"OpenIndexMap: France Carte topographique 1:50,000 (Orange Series)","630-b A-1:50,000 Orange","This is a digital index map to serve as a finding aid for France Carte topographique 1:50,000",fra,Institut national de l'information géographique et forestière (France),American Geographical Society Library – UWM Libraries,Maps,Index maps | Topographic Maps,,1972,,1972,,,"ENVELOPE(-2,2,44,41.83333)","ENVELOPE(-2,2,44,41.83333)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,GeoJSON,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgs1zcrjnt,https://raw.githubusercontent.com/OpenIndexMaps/edu.uwm/main/630bG250000_PYRENEES.geojson,ark:-77981-gmgs1zcrjnt,ark:/77981/gmgs1zcrjnt,,2026-03-30T18:00:15Z,Aardvark,false,https://raw.githubusercontent.com/OpenIndexMaps/edu.uwm/main/630bG250000_PYRENEES.geojson,https://github.com/OpenIndexMaps/edu.uwm/blob/main/630bG250000_PYRENEES.geojson
"OpenIndexMap: Carte de la Belgique Type Rapide 1:50,000","633-b A-1:50,000 R","This is a digital index map to serve as a finding aid for Carte de la Belgique Type Rapide 1:50,000",fra,Institut géographique national (Belgium),American Geographical Society Library – UWM Libraries,Maps,Index maps | Topographic Maps,,1952 to 1965,,1952|1953|1954|1960|1961|1962|1963|1964|1965,,,"ENVELOPE(2.25,6.796389,51.63361,49.46)","ENVELOPE(2.25,6.796389,51.63361,49.46)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,GeoJSON,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsx69pc2r,https://raw.githubusercontent.com/OpenIndexMaps/edu.uwm/main/633bA50000_R.geojson,ark:-77981-gmgsx69pc2r,ark:/77981/gmgsx69pc2r,,2026-03-30T18:00:15Z,Aardvark,false,https://raw.githubusercontent.com/OpenIndexMaps/edu.uwm/main/633bA50000_R.geojson,https://github.com/OpenIndexMaps/edu.uwm/blob/main/633bA50000_R.geojson
"OpenIndexMap: Landeskarte der Schweiz 1:50,000","638-b A-1:100,000","This is a digital index map to serve as a finding aid for Landeskarte der Schweiz 1:50,000",ger|fra,Switzerland. Bundesamt für Landestopographie,American Geographical Society Library – UWM Libraries,Maps,Index maps | Topographic Maps,,1938 to 1988,,1938|1939|1941|1988,,,"ENVELOPE(5.85,10.91667,47.86667,45.68333)","ENVELOPE(5.85,10.91667,47.86667,45.68333)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,GeoJSON,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgssf7m2pj,https://raw.githubusercontent.com/OpenIndexMaps/edu.uwm/main/638ba50000.geojson,ark:-77981-gmgssf7m2pj,ark:/77981/gmgssf7m2pj,,2026-03-30T18:00:15Z,Aardvark,false,https://raw.githubusercontent.com/OpenIndexMaps/edu.uwm/main/638ba50000.geojson,https://github.com/OpenIndexMaps/edu.uwm/blob/main/638ba50000.geojson
"OpenIndexMap: Karte des Deutschen Reiches 1:100,000","640-b A-1:100,000","This is a digital index map to serve as a finding aid for Karte des Deutschen Reiches 1:100,000",ger,Germany. Reichsamt für Landesaufnahme,American Geographical Society Library – UWM Libraries,Maps,Index maps | Topographic Maps,,1820 to 1953,,1820|1872|1875|1876|1877|1878|1879|1880|1881|1882|1883|1884|1885|1886|1887|1888|1889|1890|1891|1892|1893|1894|1895|1896|1897|1898|1899|1900|1901|1902|1903|1904|1905|1906|1907|1908|1909|1910|1911|1912|1913|1914|1915|1916|1918|1919|1920|1921|1922|1927|1928|1930|1931|1936|1938|1939|1940|1941|1944|1949|1950|1951|1952|1953,,,"ENVELOPE(5.8,26.33333,56,47.25)","ENVELOPE(5.8,26.33333,56,47.25)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,GeoJSON,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsnp5hs9c,https://raw.githubusercontent.com/OpenIndexMaps/edu.uwm/main/640bA100000.geojson,ark:-77981-gmgsnp5hs9c,ark:/77981/gmgsnp5hs9c,,2026-03-30T18:00:15Z,Aardvark,false,https://raw.githubusercontent.com/OpenIndexMaps/edu.uwm/main/640bA100000.geojson,https://github.com/OpenIndexMaps/edu.uwm/blob/main/640bA100000.geojson
"OpenIndexMap: Topographische Karte 1:25,000","640-b A-1:25,000","This is a digital index map to serve as a finding aid for Topographische Karte 1:25,000",ger,Prussia (Germany). Landesaufnahme,American Geographical Society Library – UWM Libraries,Maps,Index maps | Topographic Maps,,1829 to 1980,,1829|1874|1876|1877|1878|1879|1880|1881|1882|1883|1884|1885|1886|1887|1888|1889|1890|1891|1892|1893|1894|1895|1896|1897|1898|1899|1900|1901|1902|1903|1904|1905|1906|1907|1908|1909|1910|1911|1912|1913|1914|1915|1916|1917|1918|1919|1920|1921|1922|1923|1924|1925|1926|1927|1928|1929|1930|1931|1932|1933|1934|1935|1936|1937|1938|1939|1940|1941|1942|1943|1944|1945|1954|1956|1980,,,"ENVELOPE(5.666667,24,55.9,47.4)","ENVELOPE(5.666667,24,55.9,47.4)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,GeoJSON,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsj0zpdvt,https://raw.githubusercontent.com/OpenIndexMaps/edu.uwm/main/640bA25000.geojson,ark:-77981-gmgsj0zpdvt,ark:/77981/gmgsj0zpdvt,,2026-03-30T18:00:15Z,Aardvark,false,https://raw.githubusercontent.com/OpenIndexMaps/edu.uwm/main/640bA25000.geojson,https://github.com/OpenIndexMaps/edu.uwm/blob/main/640bA25000.geojson
